pathway	Juan01	Juan02	Juan03	Juan04	Juan05	Juan06	Juan07	Juan08	Juan09	Juan10	Juan11	Juan12	Juan13	Juan14	Juan15	Juan16	Juan17	Juan18	Juan19	Juan20	Juan21	Juan22	Juan23	Juan24	Juan25	Juan26	Juan27	Juan28	Juan29	Juan30	Juan31	Juan32	Juan33	Juan34	Juan35	Juan36	Juan37	Juan38	Juan39	Juan40	Juan41	Juan42	Juan43	Juan44	Juan45	Juan46	Juan47	Juan48	Juan49	Juan50	Juan51	Juan52	Juan53	Juan54	Juan55	Juan56	Juan57	Juan58	Juan59	Juan60	Juan61	Juan62	Juan63	Juan64	Juan65	Juan66
PWY-5897	21249.5279	24234.079	27082.3761	19126.1355	23881.8465	24085.8197	23716.9847	17775.7261	30364.3716	27442.3466	34055.4931	24417.7693	22211.4443	33158.9125	40940.7787	12640.704	19727.9984	19811.6447	29746.0257	22613.3526	21524.83	33571.4037	26542.8311	24685.8046	34942.2879	32681.333	30050.6679	10793.2409	20287.9015	24900.7419	24914.612	11757.0014	21437.9986	20393.0452	21268.878	23603.2506	29973.9239	20345.255	34870.7879	19074.5751	21727.5882	25690.1542	24525.3252	13274.1902	26956.0182	11840.2049	15125.1894	15919.731	50760.9103	36182.2625	36523.2854	37261.8384	38645.704	41167.0078	27866.1873	19101.4667	29350.2977	29332.8004	34736.4275	33650.9089	77100.375	57450.0357	61143.9675	64338.3744	57131.1351	52953.0436
PWY-5898	21249.5279	24234.079	27082.3761	19126.1355	23881.8465	24085.8197	23716.9847	17775.7261	30364.3716	27442.3466	34055.4931	24417.7693	22211.4443	33158.9125	40940.7787	12640.704	19727.9984	19811.6447	29746.0257	22613.3526	21524.83	33571.4037	26542.8311	24685.8046	34942.2879	32681.333	30050.6679	10793.2409	20287.9015	24900.7419	24914.612	11757.0014	21437.9986	20393.0452	21268.878	23603.2506	29973.9239	20345.255	34870.7879	19074.5751	21727.5882	25690.1542	24525.3252	13274.1902	26956.0182	11840.2049	15125.1894	15919.731	50760.9103	36182.2625	36523.2854	37261.8384	38645.704	41167.0078	27866.1873	19101.4667	29350.2977	29332.8004	34736.4275	33650.9089	77100.375	57450.0357	61143.9675	64338.3744	57131.1351	52953.0436
PWY-5899	21249.5279	24234.079	27082.3761	19126.1355	23881.8465	24085.8197	23716.9847	17775.7261	30364.3716	27442.3466	34055.4931	24417.7693	22211.4443	33158.9125	40940.7787	12640.704	19727.9984	19811.6447	29746.0257	22613.3526	21524.83	33571.4037	26542.8311	24685.8046	34942.2879	32681.333	30050.6679	10793.2409	20287.9015	24900.7419	24914.612	11757.0014	21437.9986	20393.0452	21268.878	23603.2506	29973.9239	20345.255	34870.7879	19074.5751	21727.5882	25690.1542	24525.3252	13274.1902	26956.0182	11840.2049	15125.1894	15919.731	50760.9103	36182.2625	36523.2854	37261.8384	38645.704	41167.0078	27866.1873	19101.4667	29350.2977	29332.8004	34736.4275	33650.9089	77100.375	57450.0357	61143.9675	64338.3744	57131.1351	52953.0436
PWY-5910	563.1991	724.1557	667.9014	1247.4498	1565.2675	2233.7731	1843.8239	1600.9101	1404.7768	1279.2677	2094.9958	600.1182	706.9668	1216.5141	1719.4983	194.8718	445.1213	347.4944	1767.1353	1110.6682	1224.9968	1185.9104	751.231	759.6515	1605.313	1280.3528	930.0991	731.6913	979.7274	1466.6233	767.9179	459.3072	767.4422	1079.4714	1625.5317	1885.7342	1686.3777	927.4804	1367.2885	1035.3204	880.8896	908.3876	1129.1604	512.0435	972.8237	290.8434	394.2439	270.3834	2516.6052	1923.3286	1921.1607	1246.334	1160.1889	1479.1438	814.389	569.2758	941.141	2112.4988	2366.897	1809.2598	37920.1752	27747.7253	29218.9681	34171.0486	28946.5235	29305.321
PWY-5913	27578.3094	36246.2124	37145.9735	36816.9808	43186.2291	46207.7845	47908.1318	26136.8192	43713.2761	38392.4521	43768.0774	29802.4307	22632.0576	35095.987	44659.4329	16470.5695	27063.2242	28175.8825	35736.8549	27724.3379	26231.5036	42776.6883	33724.7618	31111.2758	43619.8545	39582.1429	37795.8018	13354.0003	23954.0009	27754.824	33458.4979	15820.3936	27119.288	39236.0491	41251.2281	37437.4137	44236.6858	27302.7036	47109.3649	26807.078	27137.3173	31817.689	34694.4109	15108.8654	29974.4387	17594.2688	20489.9636	22265.0271	59888.9617	41357.3922	42240.4841	48392.1119	47221.8976	47754.8602	34327.4453	22645.5225	36071.3828	33489.6999	44369.6744	36364.5645	85324.872	63061.8326	68541.7295	83262.8371	73653.838	64477.1139
PWY-5918	34501.3867	42836.3835	44637.5009	36231.2514	41193.258	45994.2941	48975.6953	29616.0469	50588.7185	47057.6067	56209.1868	40088.668	32532.383	49181.0662	61343.9706	20752.8569	33489.7685	33717.3771	39805.8892	30522.7153	29499.8611	46537.9613	36204.4235	34088.3966	48751.004	44032.1706	41779.3173	14615.0865	26394.7235	31480.1135	40390.3432	19490.8766	33945.9368	38780.6532	39644.4668	38069.7713	50083.5526	33663.6997	56859.8479	32874.5016	35503.9674	42109.5063	41274.039	20492.1266	41163.9232	20704.3368	25230.6418	25797.8157	68356.2602	46039.071	46792.5535	54240.6783	52633.7311	53354.7067	38291.9594	25291.0864	40434.7409	36894.2494	48415.3806	42547.6994	108217.1533	79679.7006	86526.9948	86887.7572	78431.4311	68904.7214
PWY-5920	23365.2864	29879.6012	31459.4673	29353.1328	33769.5866	37724.366	38225.4282	24651.2624	40918.6784	35884.7353	40496.1442	26536.2757	21343.2448	33286.6656	42099.581	3915.8779	8091.3151	7024.8717	26061.9165	20119.4101	19020.1457	31819.0101	24243.2054	22635.0344	33607.0559	29458.4746	28284.0305	10107.414	17439.3151	20410.17	27401.2401	12085.4999	22747.0909	30814.696	31719.0951	30524.7127	40903.0618	24631.5451	41613.8879	25204.1556	24442.0262	28622.3695	30275.4313	14096.3623	27852.1033	4533.2982	5244.4675	10318.7865	44850.6429	29888.0948	30344.9835	36722.0583	35549.975	34974.3747	25624.7056	16603.6869	26564.2815	24270.8924	33548.4163	27335.8229	76054.1868	55429.0998	60858.5846	58749.0365	51821.7728	43375.0115
PWY-5940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4265	16.4274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5941	4243.3366	5675.1193	5702.8578	3576.9634	4270.0731	4819.9965	6176.7819	2850.6181	5206.1138	6112.6078	6133.8559	4664.3729	2256.0094	3760.1344	5159.0562	2943.9991	4807.5547	4863.4641	1827.2154	1356.9194	1394.2699	2256.0931	3091.5231	1667.4801	2643.6513	1838.3849	2094.8702	682.4024	1324.0811	1386.8972	4453.5386	2637.9751	4102.3367	4034.3239	4642.6569	4850.2774	6045.5403	3616.9914	5357.8528	3983.6443	3489.7121	4333.545	4043.6794	1411.8674	3176.3303	2810.1629	3767.063	4451.3025	2856.4049	2053.5506	2328.0981	2424.3632	2815.572	2426.2281	1971.3627	1247.5251	2095.1395	1633.3416	1855.9476	1801.4174	7796.3311	6958.6617	8165.1845	3659.7547	2912.4868	3032.6696
PWY-5971	21664.035	28822.7529	25626.0194	26219.8757	31133.8401	22292.4111	39078.0681	23689.901	34618.0153	30502.2728	33855.6203	20793.2653	16911.6592	24737.0398	34787.5543	3804.9463	8747.7267	7216.9054	16401.1288	10673.8668	13268.7241	20339.239	16974.9118	12479.2305	27548.1237	22582.0903	22789.6218	4027.1865	9781.3447	11346.51	24729.2613	12505.3539	21525.0389	29626.1388	32603.0363	22156.7127	39234.6816	22041.1984	37965.5834	18815.1662	20300.2208	24949.8897	29937.4086	13188.8624	24307.8226	4530.8006	5184.7164	9503.2507	32429.9081	18116.7994	19734.5687	24672.0057	26727.5876	20044.2233	19015.6755	12775.9434	20002.9852	14286.6252	22512.4307	13872.6214	45810.1564	27827.9404	38570.2413	48012.1854	48553.0071	38606.188
