pathway	Juan01	Juan02	Juan03	Juan04	Juan05	Juan06	Juan07	Juan08	Juan09	Juan10	Juan11	Juan12	Juan13	Juan14	Juan15	Juan16	Juan17	Juan18	Juan19	Juan20	Juan21	Juan22	Juan23	Juan24	Juan25	Juan26	Juan27	Juan28	Juan29	Juan30	Juan31	Juan32	Juan33	Juan34	Juan35	Juan36	Juan37	Juan38	Juan39	Juan40	Juan41	Juan42	Juan43	Juan44	Juan45	Juan46	Juan47	Juan48	Juan49	Juan50	Juan51	Juan52	Juan53	Juan54	Juan55	Juan56	Juan57	Juan58	Juan59	Juan60	Juan61	Juan62	Juan63	Juan64	Juan65	Juan66
HOMOSER-METSYN-PWY	32051.0267	39674.0386	41641.5025	36316.3134	41017.5534	42978.8236	47192.6728	28485.5907	46992.426	42847.5195	51898.9269	38424.926	30643.2685	46150.8714	57398.7241	18199.5826	28882.5502	29392.396	41141.365	31735.6457	29654.9571	47629.2162	37555.097	35211.4083	49613.9327	46105.1793	42279.6572	14964.6417	28213.2791	33908.0473	37855.7355	19065.429	31834.3297	36216.8692	36717.8739	35633.9233	50127.2612	32250.8024	53729.3467	29885.0699	32749.6059	39518.4912	37249.2174	19202.2947	38339.6246	17966.2135	22178.1366	23594.7669	70649.6102	49450.7305	49979.8881	51945.6415	53710.1829	56096.9394	38949.8915	26654.6173	41306.0018	39604.7341	48837.2565	46063.6439	92448.1961	68107.7251	74131.4871	76920.3908	71030.087	60450.9299
HSERMETANA-PWY	39057.4754	48414.3411	52293.3865	41891.4955	49011.6652	53207.932	55840.0881	33885.4334	58630.9984	53152.5276	61313.3417	42788.8595	35348.5318	52603.2371	65623.8267	16909.0551	27046.6536	27477.8423	40338.7037	31240.1425	28844.6597	47125.4235	38048.4867	34638.1946	49052.0796	45508.9198	41601.7505	14724.8809	27243.6715	32060.4963	46232.2911	20855.5538	37813.7995	46875.1888	47032.6505	44376.6734	58987.508	36979.7816	64310.104	37041.9114	37849.4473	44789.6508	45752.8431	21965.929	43829.2103	16601.1124	20616.0511	23318.5566	69398.5497	48604.3234	49167.4823	51929.2088	52937.8403	55845.6672	38269.1353	26116.267	39965.8302	38170.9664	48543.2956	43459.7392	99525.2501	72883.3753	79701.6978	82040.3517	74711.4507	63482.2383
ILEUSYN-PWY	66423.5868	84392.7524	89409.1579	79885.6309	91720.5335	103326.2552	107745.9544	63526.0831	105732.6491	95802.8647	109171.2828	75107.7996	58251.4021	90858.9941	113355.1335	37454.8221	62737.4013	62172.8604	102647.4774	79348.578	75145.0013	120818.7529	94767.8589	87480.6328	126692.1574	115764.5137	108712.6166	38378.1405	69369.8044	83159.4363	80258.2494	36229.2725	65726.188	85201.2855	90426.2556	83545.0925	106532.8388	66038.1129	111238.4234	66041.727	67343.3193	79257.7294	82860.9402	38605.813	75941.5136	38492.4882	45495.204	48274.4313	174861.5653	121961.1128	122563.6967	139787.554	139497.1947	142034.6892	100014.9127	67436.2401	104277.4343	98162.023	124990.676	112953.1743	194966.5974	143594.0041	156545.1151	140644.1529	124611.6646	108622.8414
KDO-NAGLIPASYN-PWY	1.5999	5.3588	0.0	623.5863	457.7683	939.3325	985.4758	723.7717	63.8652	55.8836	0.0	1.5999	0.0	31.9514	37.3082	4.7938	11.1814	17.552	530.5727	385.0927	374.6035	597.5717	441.8707	347.1263	621.7019	469.5024	426.2535	180.8754	404.8085	315.415	0.0	3.9982	2.3997	253.5908	464.2955	316.087	2550.6333	95.4475	87.7293	0.0	0.0	0.0	71.7629	3.9982	3.1994	3.996	15.1495	170.0186	725.9557	477.0052	503.1935	568.1803	544.5188	753.4005	365.0271	244.8378	506.6016	486.7635	501.8149	538.9085	3929.7959	2963.0227	3483.6584	7336.1715	7758.6748	5401.9968
KETOGLUCONMET-PWY	4071.9533	4715.712	5721.685	9864.5896	12318.4899	10132.3568	12113.3861	5997.5688	7049.301	5428.1345	6808.5288	4569.1908	4489.6	5429.4165	7506.139	1661.1073	2247.9331	2279.0007	1204.6175	1212.2066	1028.924	2137.4121	1711.1883	1385.8576	2161.8316	1746.4638	1892.9666	445.1174	924.3711	1046.1167	4096.1191	1528.5751	3093.4775	9589.6427	8556.0045	6306.5597	9726.4265	4229.2608	7613.8895	3087.6761	3055.7583	3632.9086	5743.3003	2121.8845	4075.4848	1596.9198	1567.837	1871.879	2314.4507	1606.715	1783.3641	2161.9182	1929.9031	2202.1108	1726.4599	884.7006	1766.2444	1101.4439	1619.8331	1303.8533	5973.1058	4573.5148	5287.2201	4789.628	4213.0219	3745.5253
LACTOSECAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.9107	45.757	49.7107	29.9325	0.0	21.9513	39.8711	33.8878	29.9126	0.0	55.5541	35.8406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.1696	41.8528	33.9082	31.9255	29.9353	39.8873	29.9082	29.8523	0.0	43.796	37.8844	45.8185	296.6327	65.7686	101.4746	1510.0751	1237.8251	1100.2752
LEU-DEG2-PWY	17994.1383	24580.5613	25144.377	25679.0424	28833.9693	29053.8278	35373.6247	19537.7764	33375.6104	27961.9726	30398.7005	19115.9297	14777.9707	22912.8358	29454.0641	7049.2828	11664.5879	11362.1589	25698.3153	20072.9229	18446.3493	31175.092	24133.7528	22183.6326	33420.155	30362.375	28656.6888	9617.2089	17861.8434	21065.2329	22025.0949	9736.6266	17860.6114	29625.1612	29654.6284	26863.0251	33358.6935	19082.5291	34233.9502	19148.3433	18075.2961	20705.9344	23734.6345	10136.085	20045.0334	6982.4495	8620.3921	11416.6591	44839.141	30984.8286	31025.3372	36096.5023	35699.886	36057.185	26110.8183	17412.8269	27500.7281	24501.7149	31777.1556	28069.959	55664.331	41465.3226	43991.1805	53301.0815	48862.7776	40255.3129
LIPASYN-PWY	256.1681	347.4386	292.2249	1843.0586	1737.1596	1474.3258	1901.6238	1480.5525	1016.0143	369.2694	479.0038	182.4288	244.4915	653.6908	841.7152	0.0	155.3661	51.811	6.6455	93.7919	0.0	0.0	166.0497	28.6823	91.3992	13.5994	156.4384	90.8382	86.7062	6.212	73.5789	316.7996	291.4527	2003.3995	2026.7906	1518.9551	2166.6665	748.2781	1238.5188	135.9072	217.237	193.3794	472.7615	140.674	444.7647	0.0	0.0	230.912	23.9617	9.2802	107.112	13.265	21.5053	7.48	136.5158	16.4609	137.0637	144.5481	25.9667	6.2196	10.8095	0.0	0.0	0.0	0.0	0.0
LPSSYN-PWY	1.2456	0.0	0.0	305.2871	3.1828	0.0	326.0769	280.7695	40.3616	25.2333	0.0	1.0666	0.0	20.6624	0.0	3.7279	8.5068	13.0884	8.9037	0.0	7.3915	14.5378	2.1281	0.0	0.0	5.3028	0.0	0.0	10.1297	0.0	0.0	0.0	1.8483	121.041	81.9243	93.5415	450.4591	53.9957	48.813	0.0	0.0	0.0	40.8803	0.0	2.5372	0.0	11.2324	34.8293	16.5219	19.8778	13.1811	0.0	0.0	0.0	3.0965	0.0	18.5441	0.0	9.0183	9.0881	0.0	0.0	0.0	0.0	0.0	0.0
MET-SAM-PWY	38198.1638	47259.282	50028.2854	42657.0081	48578.7286	52237.129	56246.9165	34073.2143	56959.6877	52155.4247	61954.8328	44742.5238	35756.5539	54296.5027	67397.4052	21306.9172	34126.065	34374.4715	49346.8268	37990.2485	35678.1939	57347.9404	45169.9985	42181.1428	60102.0251	55731.7302	51195.9391	18072.0474	33738.1467	40498.9608	45280.0369	21993.6764	37832.0492	43930.492	44954.3784	43492.2524	59370.6859	37928.3241	63767.205	36616.0782	39038.3871	46492.2787	45013.1074	22556.4587	45140.5675	21118.1506	25942.5507	27525.37	84744.9609	59231.0003	59529.5415	63672.0176	65200.0765	67637.974	47135.9709	32158.5625	49810.2873	47504.8172	59142.1857	55131.967	114362.7683	83845.0834	91263.0414	93685.517	85353.9789	73708.8159
METH-ACETATE-PWY	4519.1707	6749.2016	6237.1357	2723.4978	2799.6799	2848.7832	2987.9659	1898.2951	4486.0938	5587.3355	6242.6888	4958.3635	2608.4157	2937.5869	4310.626	5241.7366	9662.9071	9765.4471	947.4518	846.7462	760.152	1149.6912	848.1853	857.4228	1109.308	886.0666	964.3055	531.5949	763.0735	1055.0594	5259.8445	2238.1268	3709.3517	2885.8571	2361.6697	1925.176	4380.0539	3999.594	6221.5358	3519.0418	3187.4425	5450.4331	3456.5332	1410.9856	2355.7496	5048.7844	5984.6993	4190.7118	1440.0815	1279.1846	927.2682	1354.6266	1685.4081	1360.5485	796.0766	507.9786	926.1244	1417.8844	1462.5554	1450.514	4406.2569	3301.3099	4437.1491	2729.247	2701.0094	2124.7753
METHANOGENESIS-PWY	173.1099	245.3418	88.1754	637.223	871.6009	912.1349	662.7281	502.4608	761.9311	499.5228	772.2621	458.7725	303.5886	591.7669	605.1698	306.8941	469.8199	527.3788	1620.8	1149.5018	1195.2885	2174.048	1621.2084	1456.1641	2464.1395	1991.4441	2115.5442	520.7153	995.3163	1111.6043	331.9211	86.6378	129.0871	505.6031	843.7203	791.4607	923.0759	518.9122	797.72	447.1384	383.4844	567.9489	698.1213	321.7606	497.8062	333.9693	445.2561	600.8539	2843.2002	1917.9605	2081.8742	2860.1365	2498.841	2544.8276	1719.6635	1192.0882	1936.3263	1384.4215	1907.0134	1663.2142	302.1073	157.1285	246.7528	0.0	0.0	8.8198
METHGLYUT-PWY	0.5	0.0	0.0	0.0	0.5	0.0	67.0046	24.9065	0.0	0.0	0.0	0.5	0.0	0.0	37.4211	1.4989	3.497	5.4914	1.4963	0.0	1.7444	2.4881	0.4997	0.0	0.0	1.2474	0.0	0.0	1.7458	0.0	0.0	0.0	0.75	0.0	0.0	0.0	170.3907	0.0	0.0	0.0	0.0	0.0	29.9285	0.0	0.9999	0.0	4.7417	6.7369	2.7441	3.7316	2.2446	0.0	0.0	0.0	0.4996	0.0	3.4731	0.0	1.4977	1.4971	0.0	0.0	0.0	12.4639	0.0	19.8876
METHYLGALLATE-DEGRADATION-PWY	3492.4329	5419.4932	4613.8072	2713.6244	4121.9274	3652.6222	4007.151	1671.1959	3830.4891	2993.4683	3782.2398	2237.4019	2526.0524	3801.8828	4912.9043	1925.0627	2912.9723	3187.7346	1117.3021	1111.972	856.453	1818.2731	1316.3446	1362.5331	1827.1207	1572.0703	1681.737	342.726	826.6828	802.9671	4486.7522	2096.7929	3298.6055	4032.9561	3670.9661	2710.1252	3795.9419	2347.989	5484.465	2270.1012	2652.0832	2957.1454	4321.1977	1822.1989	3325.9706	2013.4125	2271.4496	2305.7215	1893.969	1378.0567	1482.9986	1972.4976	1739.2426	1863.565	1406.1696	808.093	1462.1446	1029.8822	1437.9851	1113.614	3021.5807	2893.3186	2986.5758	958.3409	721.3153	615.4573
NAD-BIOSYNTHESIS-II	5267.7414	6810.8036	6699.2974	4426.6398	5140.5189	6133.9962	6312.8115	3856.6048	6054.6261	4347.5021	5855.9848	3151.3757	3279.3387	5147.2259	8944.1528	1643.4142	3830.5174	3156.7223	19908.0088	15267.3107	14907.6393	23818.2568	18686.1946	16643.1275	24144.5492	21499.0344	20557.5809	7336.6176	13170.8069	15791.7288	6257.8388	2966.6434	4895.8251	6673.6896	5872.7909	4390.3886	6553.3104	3457.4745	8320.2732	3053.1402	4082.1023	4485.756	6313.3692	2791.0186	5360.9895	2632.4679	3293.8829	2434.3866	32852.1076	22273.1817	23289.2511	27047.836	27009.7643	26928.5936	18852.2952	12671.9031	19982.73	19225.9234	25156.7234	21981.6016	4972.4092	3872.5804	4198.71	8987.9331	9550.5151	5201.614
NADSYN-PWY	1621.5012	2298.5615	2021.329	9972.4122	6352.4458	8501.7902	9188.3284	4644.8288	7123.2229	3994.1962	4875.3456	2872.984	1914.3697	3685.32	4778.6796	1371.6335	2675.5587	2422.2016	3765.2399	2715.2089	2477.5075	5023.3713	3534.4924	2979.5493	5955.7433	4581.3929	5075.4016	1361.7139	2071.6875	2989.3899	2342.437	1528.9246	2247.3258	6886.8294	7992.5808	7849.4385	7337.9476	5225.3515	6466.171	2673.2056	3179.0748	4143.2307	3805.9215	1729.1253	3162.4736	1668.0397	1864.5022	2620.7514	6374.8085	4338.8313	4585.9226	5045.1245	4854.5203	4928.59	4087.7063	2454.882	4204.6048	3576.5511	5229.7389	3225.7718	22251.8133	16648.6589	17548.9362	20006.1376	17226.9697	14918.6
NAGLIPASYN-PWY	16488.3726	21269.5996	22397.0865	21420.6822	24176.2813	29230.6635	30361.0416	17400.9179	27022.6418	24566.4247	25107.7522	16206.1719	12095.8387	19309.9653	24432.4047	3709.9943	6536.7934	6537.0585	24521.1615	19043.6308	18017.4227	30551.3682	23009.5731	21885.9407	33498.9681	30078.5372	28045.4635	9268.004	16341.6446	18903.3932	19004.1662	8074.4835	15679.2095	23654.8483	25480.2992	23248.3128	26931.7555	14708.8563	25147.1941	17030.4761	14518.8531	16765.6978	20123.7892	8062.7176	15701.2033	3988.7023	4733.2292	7780.9385	43144.3749	28874.3162	28476.2817	36864.8099	35508.8506	35177.7176	25861.0088	16869.7649	26460.1377	22662.931	31717.8786	25877.5112	49436.0436	34862.8069	39574.4504	36835.4236	31704.6971	25193.3907
NONMEVIPP-PWY	40447.6172	51489.605	53367.7753	43838.9963	50779.3159	56323.4621	59149.1422	36000.1112	61208.468	57027.6151	66340.6276	46615.2262	36103.7111	55790.415	68730.0131	24429.3458	40393.3403	40026.0301	45523.8085	34810.2052	33070.0825	53521.4113	42206.8514	38775.6738	56692.1778	51461.453	48605.9462	16806.8319	30362.986	36321.844	48525.7757	22616.5512	39707.4219	46615.1288	48416.6462	46510.8102	61801.0077	39747.8368	67375.7171	40411.4802	41467.5159	49283.8541	48241.6438	23283.326	46396.9862	24293.1577	29153.3652	29722.5283	77775.4436	54113.8313	54661.5967	62021.2326	61417.7747	62307.1397	44716.7421	29810.75	46850.3048	42697.7485	54203.615	48469.7192	113214.5259	83200.5248	91460.0001	88090.1337	80329.221	68559.8598
NONOXIPENT-PWY	53493.4498	67852.8799	72017.8799	61960.5284	71368.5306	78125.0549	84732.5894	48810.8495	81306.1596	75277.2872	86879.9327	60686.4324	46982.4667	72242.306	90220.9104	35953.8868	59285.7517	59103.0441	77174.8562	58896.3191	56826.1139	90427.6096	71018.6224	65453.3905	94888.9069	86805.8527	82116.5465	28335.8868	51175.2827	61527.3986	64465.6195	29892.6429	52942.9955	65781.9022	68085.4061	64019.4579	84523.1233	51982.662	88836.1418	52050.6681	54166.2388	63828.3292	65199.5997	30716.5454	60513.5702	36652.0772	44003.587	43921.8861	130573.8832	90300.8087	91165.9188	105275.6107	104112.6095	105151.3131	74821.5683	50448.5331	78710.9483	72560.2773	92341.0865	83551.0445	170964.0259	125120.6678	136641.2925	133830.7764	119427.0041	105153.5971
OANTIGEN-PWY	36260.5361	46916.6459	48912.1454	41088.9039	48143.6299	53533.4824	55700.1098	32724.7817	54483.7916	51173.2664	58259.5589	39651.8966	30148.0879	46471.5495	58353.7861	21426.8849	35967.011	35548.1207	52238.1206	40017.8978	37942.0541	60453.457	47262.9202	44507.1649	64316.0452	58828.1655	54869.4378	19392.7387	35320.7299	42101.5443	44443.7829	19943.0507	35620.9931	44121.4214	46875.8843	44464.569	55586.2874	34604.8681	59357.956	35539.5904	35978.4602	41997.4702	44520.3077	19624.7411	38888.6526	21549.6866	25716.6314	27252.539	89551.6374	62455.1281	62391.4543	69807.6217	69651.4305	71415.8243	50583.0909	34028.5321	52909.7018	49430.4847	62781.8925	56668.5844	108287.4137	78695.1457	86964.6224	80952.2846	71378.9484	61592.9897
ORNARGDEG-PWY	0.56	0.0	0.0	288.9641	0.933	0.0	456.3327	263.8616	32.2206	19.5756	0.0	0.56	0.0	17.2464	0.0	1.6791	3.9173	6.1541	2.7566	0.0	3.1407	4.6067	0.9301	0.0	0.0	2.3181	0.0	0.0	3.0997	0.0	0.0	0.0	0.8399	104.7678	58.8014	75.2727	1104.3759	33.4914	35.1251	0.0	0.0	0.0	32.5638	0.0	1.8476	0.0	5.3144	60.3002	5.0675	6.7126	4.1284	0.0	0.0	0.0	0.9308	0.0	6.4287	0.0	2.7338	2.6979	0.0	0.0	0.0	35.583	446.2664	0.0
ORNDEG-PWY	2072.3906	0.0	0.0	4786.2445	4455.1542	0.0	6173.8781	2965.5095	3855.3704	2818.8599	0.0	1477.0235	0.0	2028.7685	0.0	518.8603	894.0236	1030.536	3838.1759	0.0	2680.0121	4295.4726	3679.1104	0.0	0.0	4045.825	0.0	0.0	2688.0413	0.0	0.0	0.0	2163.6895	4367.8305	4347.5194	3573.7398	6123.1695	1807.275	2796.8179	0.0	0.0	0.0	1698.4691	0.0	1577.9884	0.0	817.6761	1384.8048	5879.6258	4665.522	4915.7362	0.0	0.0	0.0	3430.5789	0.0	3880.5139	0.0	4320.1118	3752.7746	0.0	0.0	0.0	0.0	1008.3596	0.0
P101-PWY	4358.2821	7453.5482	5799.3534	5433.0794	6500.9316	5936.1493	7044.63	4978.9708	6631.5043	6536.5718	9160.2853	7616.6349	4268.4809	7737.2647	9146.1278	7854.9848	12051.0469	12648.9289	1279.7778	1202.7506	858.8288	1218.0122	1641.0466	1053.2997	1545.496	1417.3534	1413.8704	692.3884	995.083	985.9293	6654.5283	4929.8094	5828.7895	5507.0317	6339.5316	4279.909	7999.3712	6559.6142	10848.7704	5379.3356	7137.6607	8216.703	6785.995	3622.5694	7383.1923	8540.3719	9685.5976	8357.4743	1865.2012	1552.9775	1510.5339	1395.5081	1606.5818	1579.9406	1304.6681	738.7998	1501.1213	1371.4663	1831.8202	1334.1246	41355.6748	31784.9235	31679.4026	44568.9756	42827.8412	37440.5273
P105-PWY	50850.6109	64562.1693	67347.7131	56348.9774	65638.0999	71843.4277	75300.1411	46149.3965	78760.7357	70799.607	82978.2156	57792.9303	47056.8815	71967.4557	89670.5542	28035.0292	45786.341	45779.24	62727.7158	48607.6184	45879.2515	74419.3202	57806.0024	54798.117	78288.2736	72073.746	66002.1468	23400.4923	43098.9174	51092.5852	60617.1083	28596.6627	50590.9757	61276.1296	62330.1425	59903.1611	78768.9902	50568.398	86939.9124	49357.0636	52017.3369	61614.8813	62847.4229	30469.3943	60477.909	28257.964	34335.1253	35866.3281	108553.9538	75120.3034	74710.8174	84368.2407	85079.5429	86839.6035	61088.9924	40998.3694	63861.8482	60024.207	76457.0086	70536.4474	148934.1192	109764.1165	119273.4939	118086.0141	106189.0662	92702.5595
P108-PWY	44251.9101	54858.9379	57611.6092	44834.1767	52743.7602	59762.0768	57353.3709	38486.3661	67505.572	62488.4	73014.2641	51844.6656	40849.0771	64086.9476	79144.9628	30722.5857	50866.818	49921.8793	73502.4388	56283.8253	53421.0722	84306.2871	65815.2633	62183.2444	89826.8495	83596.6757	76510.145	27593.7475	50349.7039	60593.6346	54198.3158	26142.3911	45141.4151	48275.3661	52050.7545	51323.3301	66107.5935	44688.4284	74145.3751	45239.6325	47279.4955	55647.2864	52731.3367	26505.3354	53345.8676	30931.3559	37322.1745	37431.5622	126727.0235	88485.2866	87598.1655	98557.4193	99455.1056	101852.582	71079.3561	48446.6219	74619.7965	71142.6208	89570.3591	82585.5878	129360.7118	96265.5943	104440.2659	95544.4416	85321.6321	75231.9226
P122-PWY	14859.8836	20392.4961	20817.0994	25612.9402	27760.9669	28106.427	32552.7394	16491.3947	27212.0218	25174.515	28539.732	19001.7099	13327.3322	21722.8383	26715.9554	11740.9582	19128.4814	20429.4899	13868.5658	10664.5241	10764.6707	15768.7479	14083.6727	11393.2758	16504.0754	14150.6693	14117.3189	5264.4367	8977.1493	10758.0788	18177.4538	8536.0193	14638.7617	26375.6965	26905.2541	24664.6252	31758.4916	17612.7999	30013.8436	16577.296	17126.8036	19678.4966	20869.909	9483.21	17844.7228	12709.3491	14811.1594	15737.5464	23916.5983	15855.9758	16937.8164	17248.537	16604.7798	17396.241	13083.3793	8410.8272	13669.8277	12552.98	15856.6163	14245.0111	49008.752	36398.9711	39282.627	39762.7952	37050.5539	30353.143
P124-PWY	19237.1656	25615.5391	27247.2613	29319.1858	33036.1594	33372.3619	40155.0801	17830.2956	29701.081	29347.663	33298.8041	22936.529	14873.7963	23894.7639	31025.685	18032.6009	29232.2082	30335.9664	23442.3213	17592.2349	16839.0215	26555.0598	23533.8728	19121.4028	26479.0078	23376.9643	23474.2207	8575.4042	14865.7485	17690.5806	24332.3795	11667.5517	19104.6601	30422.638	31013.9505	28938.3756	34737.101	19502.6226	34000.6564	19105.2779	20563.1406	24109.1071	23551.0009	10711.0901	19773.0732	18868.2554	22384.4878	22444.8914	37419.032	26483.8192	28789.8756	28248.629	28476.5481	30084.4416	21318.9338	14111.5366	22403.1439	21107.5709	26501.6317	23085.5046	54188.7563	42379.7034	45620.7973	53460.7527	50300.3503	42728.6864
P125-PWY	2029.4579	2090.7243	2562.531	5547.3661	7804.9946	7013.359	8036.7405	4552.2992	5360.6714	3248.0644	4282.1326	2170.6394	2339.4007	2976.9408	4001.9559	413.547	750.3965	599.3274	9870.1201	7752.4152	6974.446	11409.5585	8247.6882	9271.2087	11690.0707	11490.2096	9803.3655	3253.9796	7354.8291	8654.1134	1655.8176	854.2555	1130.9801	4992.9352	5258.804	3687.1086	6109.4728	2676.2578	5457.7362	2013.0201	2176.563	1780.0165	2813.6704	889.9635	2118.1248	419.3744	489.0109	695.5114	17364.7648	12595.1909	11893.049	11506.4929	13187.7549	14353.0371	9167.5742	6483.6979	9792.7628	9955.3998	10731.4784	12674.8134	28060.8556	20820.6159	21345.1704	23307.2852	19749.5246	20045.5356
P161-PWY	24760.3816	28875.9228	31517.3894	20616.6643	25654.1971	24943.4318	23398.757	18560.5043	36193.7354	31392.2219	39205.7826	29438.1735	28992.792	41659.3633	49542.2236	15099.8873	22554.0563	23231.5323	7333.6777	5706.1233	6033.5633	8191.8673	7569.8374	5912.8409	8838.8063	7435.5239	7404.4977	2879.9634	4814.963	5777.3235	27274.7423	12758.1585	24498.7911	21719.1422	21236.1679	22864.5921	35570.688	25119.7422	42675.3098	21741.2391	25089.3484	31237.3143	28922.7984	16724.5163	34015.0734	13277.267	17705.956	16955.6036	13295.1129	8385.7281	8947.1702	9091.995	8453.6146	8850.9498	6987.0705	4422.9033	7280.0359	6612.2471	8273.3344	7723.3287	55751.6269	40995.9883	45743.9587	43843.4875	39449.9861	35301.3017
P162-PWY	2908.9617	4305.8059	4009.017	1835.2917	1924.1907	1968.3217	2045.3892	1245.4376	3049.5223	3709.837	4122.0162	3247.8477	1696.4098	1963.2253	2878.5699	3165.2021	5633.7669	5713.7165	0.0	0.0	15.9789	0.0	25.9554	27.9392	15.9857	0.0	13.3478	0.0	0.0	0.0	3482.7454	1485.7635	2444.4942	1968.982	1653.8511	1293.0678	2998.9826	2629.4248	4167.4544	2403.9555	2184.5725	3578.0804	2319.4425	1004.5014	1612.8381	3002.4433	3572.9143	2750.0466	0.0	5.998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P163-PWY	2900.0942	4143.2053	4456.0884	3099.0444	3809.8833	3750.0057	3840.6738	2350.1706	4154.9272	4133.4043	4327.9866	3081.3169	3144.5671	4499.9441	5552.9424	2341.185	3702.8409	3820.7683	3708.0024	2403.5588	2551.0498	3703.032	2794.1611	2331.7707	3842.3128	3180.1405	3240.3818	1516.9172	2611.0302	3281.8123	4486.882	1900.7928	3462.4889	3282.2867	3623.5011	3669.7811	3810.4293	2561.6097	4931.5753	2815.6576	2921.9908	3276.3477	5498.9264	1770.1993	3414.1386	2147.1297	2634.3406	2914.7869	5955.6326	4235.8936	4538.1451	4328.5913	4160.8671	4325.6961	2808.6518	1860.8804	2932.9773	3726.7537	4728.8595	3734.6272	9311.1333	6186.6742	6988.7103	7942.7657	6756.3653	5756.5802
P164-PWY	15479.2116	19562.5922	20596.6494	18655.1161	21557.8894	21787.6643	23775.2641	13945.0661	25853.04	21181.9637	19855.4597	12750.2143	10723.5122	14346.189	21437.4834	6324.6808	10368.6927	10445.382	30938.6524	23796.7285	22436.3808	35662.7859	27422.9389	25436.0075	38270.8453	34959.3095	32581.4929	11717.4289	20805.2855	24687.3673	18268.6143	8830.8466	14774.5605	23650.6015	22996.9368	17928.3913	25619.9734	14049.5901	24595.1646	15176.6866	12076.8891	13909.202	16727.6297	6285.7898	12474.2469	6312.3091	8085.9788	9028.8927	53340.5472	36254.0932	35784.0773	43376.4649	42020.8395	41029.5325	30276.4955	20040.6774	31484.5688	29608.4787	38320.4658	33946.2157	28108.7068	19446.4308	22232.5525	30083.3272	20021.5	18130.2855
P184-PWY	3292.9045	5003.5618	4295.2143	2308.8003	3260.5015	2970.6764	3376.1893	1422.3287	3263.7916	2524.5559	3398.461	1970.2306	2316.0746	3451.8485	4470.0873	676.0115	1333.781	1140.8577	829.3855	858.5775	621.2609	1448.4732	987.8819	1062.487	1532.9939	1270.4622	1406.698	256.5524	590.0901	603.395	4215.0468	1947.0787	3051.0352	3508.9638	2972.9345	2305.3812	3237.9019	2003.1718	4949.0838	2074.0644	2295.175	2672.0959	3934.9606	1659.464	3029.3305	476.5325	659.3993	979.7823	1433.0702	1043.6494	1126.8154	1638.4861	1368.816	1505.6012	1147.9735	665.4569	1219.8387	731.866	1079.1419	716.3816	2632.2122	2259.2918	2492.7554	623.9035	432.058	325.7515
P221-PWY	604.7833	727.5358	984.6554	1748.1923	1972.2488	1695.541	2332.1263	1938.0078	1684.0693	924.8275	1617.2436	819.5168	410.2078	864.8225	2096.9383	1024.2625	1617.1611	2041.4673	1733.1212	1401.6326	1616.6441	2264.8301	2672.4948	1870.24	2710.2283	2113.0583	2461.1533	642.8715	1251.9288	1400.2627	535.7482	560.8907	677.9173	1943.7783	3347.7079	3247.1013	2109.2643	987.2399	2395.3745	442.3897	798.5413	975.4584	1050.0252	417.3971	847.6081	965.8728	1305.9061	2125.6491	3242.6408	1937.8313	2610.2742	2468.987	2423.9776	3412.7848	2307.9433	1403.3718	2208.9651	1578.709	2158.3278	1685.383	9347.0941	7405.7828	8548.1434	12619.645	11880.091	8775.8009
P23-PWY	39373.2061	52488.0422	54247.4711	35683.2594	39368.1416	51880.2272	55820.8418	27496.7703	49670.2073	53006.669	59799.6704	44796.1443	31893.0621	46144.39	56003.7004	24341.6077	41659.7501	41822.0708	51419.7886	40133.7467	37532.1056	61001.0161	47770.0915	43676.41	67859.1516	61809.2995	57730.0931	19362.6649	33679.9716	40309.5082	46632.2178	21238.6647	37663.817	36656.8753	36541.2061	36234.2327	57177.8752	35474.1747	58973.9886	36019.5168	35805.5673	45595.5388	43346.1707	20640.9138	37502.9627	24038.9914	29252.4535	27526.8622	89234.9039	61363.1021	60090.5938	75124.8727	73640.3635	72639.38	52555.6823	34951.401	54682.4109	48958.0715	64261.2046	58442.8345	86267.9539	61013.4233	71304.865	70597.367	60711.4546	52856.5808
P241-PWY	158.9428	330.8281	124.9301	53.5155	75.879	92.4941	97.7686	41.6744	156.5033	117.0321	152.4808	152.4744	56.5316	83.1103	126.6756	506.5759	800.248	826.8421	567.8495	569.464	508.2235	800.537	606.4694	605.1196	826.5213	721.8287	846.4723	157.6248	286.6944	380.9952	213.3902	163.8843	123.2312	68.5959	125.0372	228.1552	121.7962	93.1614	160.6581	82.5911	105.0038	176.2477	157.0677	62.5708	93.3625	563.2496	750.991	655.1393	1074.2351	642.5083	647.1347	1004.4938	792.5966	889.7721	583.3261	335.9761	627.5449	427.9218	652.3243	564.19	2249.4371	1434.3783	1298.5178	2633.4733	2157.1117	1897.48
